d_date_sk|d_date
2415022|1900-01-02
2415023|1900-01-03
2415024|1900-01-04
2415025|1900-01-05
2415026|1900-01-06
2415027|1900-01-07
2415028|1900-01-08
2415029|1900-01-09
2415030|1900-01-10
2415031|1900-01-11
2415032|1900-01-12
2415033|1900-01-13
2415034|1900-01-14
2415035|1900-01-15
2415036|1900-01-16
2415037|1900-01-17
2415038|1900-01-18
2415039|1900-01-19
2415040|1900-01-20
2415041|1900-01-21
2415042|1900-01-22
2415043|1900-01-23
2415044|1900-01-24
2415045|1900-01-25
2415046|1900-01-26
2415047|1900-01-27
2415048|1900-01-28
2415049|1900-01-29
2415050|1900-01-30
2415051|1900-01-31
2415052|1900-02-01
2415053|1900-02-02
2415054|1900-02-03
2415055|1900-02-04
2415056|1900-02-05
2415057|1900-02-06
2415058|1900-02-07
2415059|1900-02-08
2415060|1900-02-09
2415061|1900-02-10
2415062|1900-02-11
2415063|1900-02-12
2415064|1900-02-13
2415065|1900-02-14
2415066|1900-02-15
2415067|1900-02-16
2415068|1900-02-17
2415069|1900-02-18
2415070|1900-02-19
2415071|1900-02-20
2415072|1900-02-21
2415073|1900-02-22
2415074|1900-02-23
2415075|1900-02-24
2415076|1900-02-25
2415077|1900-02-26
2415078|1900-02-27
2415079|1900-02-28
2415080|1900-03-01
2415081|1900-03-02
2415082|1900-03-03
2415083|1900-03-04
2415084|1900-03-05
2415085|1900-03-06
2415086|1900-03-07
2415087|1900-03-08
2415088|1900-03-09
2415089|1900-03-10
2415090|1900-03-11
2415091|1900-03-12
2415092|1900-03-13
2415093|1900-03-14
2415094|1900-03-15
2415095|1900-03-16
2415096|1900-03-17
2415097|1900-03-18
2415098|1900-03-19
2415099|1900-03-20
2415100|1900-03-21
2415101|1900-03-22
2415102|1900-03-23
2415103|1900-03-24
2415104|1900-03-25
2415105|1900-03-26
2415106|1900-03-27
2415107|1900-03-28
2415108|1900-03-29
2415109|1900-03-30
2415110|1900-03-31
2415111|1900-04-01
2415112|1900-04-02
2415113|1900-04-03
2415114|1900-04-04
2415115|1900-04-05
2415116|1900-04-06
2415117|1900-04-07
2415118|1900-04-08
2415119|1900-04-09
2415120|1900-04-10
2415121|1900-04-11
2415122|1900-04-12
2415123|1900-04-13
2415124|1900-04-14
2415125|1900-04-15
2415126|1900-04-16
2415127|1900-04-17
2415128|1900-04-18
2415129|1900-04-19
2415130|1900-04-20
2415131|1900-04-21
2415132|1900-04-22
2415133|1900-04-23
2415134|1900-04-24
2415135|1900-04-25
2415136|1900-04-26
2415137|1900-04-27
2415138|1900-04-28
2415139|1900-04-29
2415140|1900-04-30
2415141|1900-05-01
2415142|1900-05-02
2415143|1900-05-03
2415144|1900-05-04
2415145|1900-05-05
2415146|1900-05-06
2415147|1900-05-07
2415148|1900-05-08
2415149|1900-05-09
2415150|1900-05-10
2415151|1900-05-11
2415152|1900-05-12
2415153|1900-05-13
2415154|1900-05-14
2415155|1900-05-15
2415156|1900-05-16
2415157|1900-05-17
2415158|1900-05-18
2415159|1900-05-19
2415160|1900-05-20
2415161|1900-05-21
2415162|1900-05-22
2415163|1900-05-23
2415164|1900-05-24
2415165|1900-05-25
2415166|1900-05-26
2415167|1900-05-27
2415168|1900-05-28
2415169|1900-05-29
2415170|1900-05-30
2415171|1900-05-31
2415172|1900-06-01
2415173|1900-06-02
2415174|1900-06-03
2415175|1900-06-04
2415176|1900-06-05
2415177|1900-06-06
2415178|1900-06-07
2415179|1900-06-08
2415180|1900-06-09
2415181|1900-06-10
2415182|1900-06-11
2415183|1900-06-12
2415184|1900-06-13
2415185|1900-06-14
2415186|1900-06-15
2415187|1900-06-16
2415188|1900-06-17
2415189|1900-06-18
2415190|1900-06-19
2415191|1900-06-20
2415192|1900-06-21
2415193|1900-06-22
2415194|1900-06-23
2415195|1900-06-24
2415196|1900-06-25
2415197|1900-06-26
2415198|1900-06-27
2415199|1900-06-28
2415200|1900-06-29
2415201|1900-06-30
2415202|1900-07-01
